file,timestamp_raw,timestamp,timestamp_serie,delta_t,velocity,length,total_length,first_peak_raw,video,timestamp_video,train_type
ADTC_8_adz_raw_20260309_0010,2026-03-09 00:07:20.748,2026-03-09 00:07:30.800,"[Timestamp('2026-03-09 00:07:30.800000'), Timestamp('2026-03-09 00:07:30.927000'), Timestamp('2026-03-09 00:07:31.790000'), Timestamp('2026-03-09 00:07:31.918000'), Timestamp('2026-03-09 00:07:32.172000'), Timestamp('2026-03-09 00:07:32.309000'), Timestamp('2026-03-09 00:07:33.216000'), Timestamp('2026-03-09 00:07:33.354000'), Timestamp('2026-03-09 00:07:33.619000'), Timestamp('2026-03-09 00:07:33.766000'), Timestamp('2026-03-09 00:07:34.732000'), Timestamp('2026-03-09 00:07:34.875000'), Timestamp('2026-03-09 00:07:35.163000'), Timestamp('2026-03-09 00:07:35.321000'), Timestamp('2026-03-09 00:07:36.354000'), Timestamp('2026-03-09 00:07:36.508000')]","[0.127, 0.863, 0.128, 0.254, 0.137, 0.907, 0.138, 0.265, 0.147, 0.966, 0.143, 0.288, 0.158, 1.033, 0.154]","[18.713734729162315, 18.533094812164578, 18.028947888158452, 17.79463604691913, 17.71706227462945, 17.567242071457244, 16.97645910989918, 16.769595039910172, 16.58154742017087, 16.430654625953125, 15.90730622443096, 15.67398119122257, 15.509897268854921, 15.393510488216656, 14.8151323545172, 14.469129071827723]","[2.376644310603614, 15.99406082289803, 2.307705329684282, 4.5198375559174595, 2.4272375316242347, 15.933488558811721, 2.342751357166087, 4.443942685576196, 2.437487470765118, 15.872012368670719, 2.274744790093627, 4.5141065830721, 2.4505637684790775, 15.901496334327804, 2.2815303825956486]",96.07760985028573,9.916598508801512,c:\git\RailwAI\VIDEO\20260309\ADTC Rueschlikon_00_20260309000732.mp4,2026-03-09 00:07:32,
ADTC_8_adz_raw_20260309_0030,2026-03-09 00:22:07.505,2026-03-09 00:22:17.540,"[Timestamp('2026-03-09 00:22:17.540000'), Timestamp('2026-03-09 00:22:17.650000'), Timestamp('2026-03-09 00:22:18.412000'), Timestamp('2026-03-09 00:22:18.526000'), Timestamp('2026-03-09 00:22:18.741000'), Timestamp('2026-03-09 00:22:18.863000'), Timestamp('2026-03-09 00:22:19.644000'), Timestamp('2026-03-09 00:22:19.765000'), Timestamp('2026-03-09 00:22:19.991000'), Timestamp('2026-03-09 00:22:20.114000'), Timestamp('2026-03-09 00:22:20.930000'), Timestamp('2026-03-09 00:22:21.055000'), Timestamp('2026-03-09 00:22:21.284000'), Timestamp('2026-03-09 00:22:21.420000'), Timestamp('2026-03-09 00:22:22.277000'), Timestamp('2026-03-09 00:22:22.403000')]","[0.11, 0.762, 0.114, 0.215, 0.122, 0.781, 0.121, 0.226, 0.123, 0.816, 0.125, 0.229, 0.136, 0.857, 0.126]","[21.24268118354319, 21.014714898835074, 20.757945524418638, 20.62586541124342, 20.27457382182139, 20.58920887123469, 20.001388985346203, 19.843181468764413, 19.673452932876437, 19.68039522105157, 19.167862266857963, 18.922886905455478, 18.716935238674367, 18.816374484553897, 18.25629530541044, 17.92098966659353]","[2.336694930189751, 16.013212752912327, 2.366405789783725, 4.434561063417336, 2.4734980062622096, 16.080172128434292, 2.4201680672268906, 4.484559011940758, 2.419834710743802, 16.059202500378078, 2.3959827833572453, 4.333341101349305, 2.545503192459714, 16.12563293326269, 2.3002932084817154]",96.78906218019983,9.916598508801512,c:\git\RailwAI\VIDEO\20260309\ADTC Rueschlikon_00_20260309002219.mp4,2026-03-09 00:22:19,
ADTC_8_adz_raw_20260309_0310,2026-03-09 03:02:50.168,2026-03-09 03:03:00.355,"[Timestamp('2026-03-09 03:03:00.355000'), Timestamp('2026-03-09 03:03:00.475000'), Timestamp('2026-03-09 03:03:00.708000'), Timestamp('2026-03-09 03:03:00.829000'), Timestamp('2026-03-09 03:03:01.027000'), Timestamp('2026-03-09 03:03:01.130000'), Timestamp('2026-03-09 03:03:01.643000'), Timestamp('2026-03-09 03:03:01.744000'), Timestamp('2026-03-09 03:03:01.927000'), Timestamp('2026-03-09 03:03:02.713000'), Timestamp('2026-03-09 03:03:03.035000'), Timestamp('2026-03-09 03:03:03.476000'), Timestamp('2026-03-09 03:03:03.804000'), Timestamp('2026-03-09 03:03:04.244000'), Timestamp('2026-03-09 03:03:04.571000'), Timestamp('2026-03-09 03:03:05.013000'), Timestamp('2026-03-09 03:03:05.337000'), Timestamp('2026-03-09 03:03:05.778000'), Timestamp('2026-03-09 03:03:06.105000'), Timestamp('2026-03-09 03:03:06.548000'), Timestamp('2026-03-09 03:03:06.871000'), Timestamp('2026-03-09 03:03:07.311000'), Timestamp('2026-03-09 03:03:07.632000'), Timestamp('2026-03-09 03:03:08.073000')]","[0.12, 0.233, 0.121, 0.198, 0.103, 0.513, 0.101, 0.183, 0.786, 0.322, 0.441, 0.328, 0.44, 0.327, 0.442, 0.324, 0.441, 0.327, 0.443, 0.323, 0.44, 0.321, 0.441]","[22.787376388169307, 22.677376171352073, 22.698206859544783, 22.536328919307643, 22.830771319013202, 22.64163537755528, 22.799188640973632, 22.722689075630253, 24.638079171407274, 25.010771219302026, 23.05005015392065, 22.999586833769452, 22.994308793831465, 23.110348903231788, 22.912216545053745, 22.839296625704392, 22.7221798951284, 23.026349847284777, 23.077456487067472, 23.16127680379968, 22.884418683941355, 22.723452889172744, 23.049252905368014, 23.13373902540995]","[2.7344851665803165, 5.283828647925033, 2.7464830300049186, 4.462193126022913, 2.3515694458583596, 11.615158948685858, 2.302718052738337, 4.158252100840336, 19.36553022872612, 8.053468332615253, 10.165072117879006, 7.543864481476381, 10.117495869285845, 7.557084091356795, 10.127199712913756, 7.399932106728223, 10.020481333751624, 7.529616400062123, 10.22331322377089, 7.481092407627297, 10.069144220934197, 7.294228377424451, 10.164720531267294]",178.76693195447533,9.916598508801512,c:\git\RailwAI\VIDEO\20260309\ADTC Rueschlikon_00_20260309030301.mp4,2026-03-09 03:03:01,
ADTC_8_adz_raw_20260309_0450,2026-03-09 04:44:06.406,2026-03-09 04:44:16.600,"[Timestamp('2026-03-09 04:44:16.600000'), Timestamp('2026-03-09 04:44:16.710000'), Timestamp('2026-03-09 04:44:17.430000'), Timestamp('2026-03-09 04:44:17.529000'), Timestamp('2026-03-09 04:44:17.737000'), Timestamp('2026-03-09 04:44:17.840000'), Timestamp('2026-03-09 04:44:18.556000'), Timestamp('2026-03-09 04:44:18.663000'), Timestamp('2026-03-09 04:44:18.865000'), Timestamp('2026-03-09 04:44:18.969000'), Timestamp('2026-03-09 04:44:19.683000'), Timestamp('2026-03-09 04:44:19.793000'), Timestamp('2026-03-09 04:44:19.995000'), Timestamp('2026-03-09 04:44:20.099000'), Timestamp('2026-03-09 04:44:20.814000'), Timestamp('2026-03-09 04:44:20.922000')]","[0.11, 0.72, 0.099, 0.208, 0.103, 0.716, 0.107, 0.202, 0.104, 0.714, 0.11, 0.202, 0.104, 0.715, 0.108]","[22.09439059272207, 22.155969163933726, 22.56197251557598, 22.196798785377485, 22.509070918086863, 22.22519949195869, 22.56695836648104, 22.383581894864996, 22.482435597189692, 22.620144539792847, 22.515755089471313, 22.56197251557598, 22.561723280861642, 22.431865828092246, 22.590236366958454, 22.32860040567951]","[2.4303829651994278, 15.952297798032282, 2.2336352790420224, 4.616934147358517, 2.3184343045629467, 15.913242836242421, 2.414664545213471, 4.52148354276273, 2.338173302107728, 16.150783201412093, 2.476733059841844, 4.557518448146348, 2.3464192212096107, 16.038784067085956, 2.439745527631513]",96.74923224584892,9.916598508801512,c:\git\RailwAI\VIDEO\20260309\ADTC Rueschlikon_00_20260309044418.mp4,2026-03-09 04:44:18,
ADTC_8_adz_raw_20260309_0510,2026-03-09 05:00:24.483,2026-03-09 05:00:34.738,"[Timestamp('2026-03-09 05:00:34.738000'), Timestamp('2026-03-09 05:00:34.873000'), Timestamp('2026-03-09 05:00:35.781000'), Timestamp('2026-03-09 05:00:35.914000'), Timestamp('2026-03-09 05:00:36.168000'), Timestamp('2026-03-09 05:00:36.311000'), Timestamp('2026-03-09 05:00:37.217000'), Timestamp('2026-03-09 05:00:37.352000'), Timestamp('2026-03-09 05:00:37.609000'), Timestamp('2026-03-09 05:00:37.755000'), Timestamp('2026-03-09 05:00:38.661000'), Timestamp('2026-03-09 05:00:38.794000'), Timestamp('2026-03-09 05:00:39.051000'), Timestamp('2026-03-09 05:00:39.191000'), Timestamp('2026-03-09 05:00:40.101000'), Timestamp('2026-03-09 05:00:40.235000')]","[0.135, 0.908, 0.133, 0.254, 0.143, 0.906, 0.135, 0.257, 0.146, 0.906, 0.133, 0.257, 0.14, 0.91, 0.134]","[17.696228338430174, 17.476808905380334, 17.664026000406256, 17.407200394542166, 17.44112366670187, 17.546553784727557, 17.598548240750077, 17.47055784439705, 17.518773206347092, 17.67767116604326, 17.679617972650313, 17.438821572820146, 17.47055784439705, 17.47368281582277, 17.598548240750077, 17.45506477878681]","[2.3889908256880736, 15.868942486085345, 2.3493154580540323, 4.42142890021371, 2.494080684338367, 15.897177728963166, 2.3758040125012605, 4.489933366010042, 2.557740888126675, 16.015970076435195, 2.3513891903624917, 4.481777144214778, 2.445878098215587, 15.901051362398722, 2.3582054642605104]",96.39768568586796,9.916598508801512,c:\git\RailwAI\VIDEO\20260309\ADTC Rueschlikon_00_20260309050036.mp4,2026-03-09 05:00:36,
ADTC_8_adz_raw_20260309_0540,2026-03-09 05:37:27.547,2026-03-09 05:37:37.606,"[Timestamp('2026-03-09 05:37:37.606000'), Timestamp('2026-03-09 05:37:37.745000'), Timestamp('2026-03-09 05:37:38.696000'), Timestamp('2026-03-09 05:37:38.839000'), Timestamp('2026-03-09 05:37:39.115000'), Timestamp('2026-03-09 05:37:39.268000'), Timestamp('2026-03-09 05:37:40.284000'), Timestamp('2026-03-09 05:37:40.439000'), Timestamp('2026-03-09 05:37:40.737000'), Timestamp('2026-03-09 05:37:40.911000'), Timestamp('2026-03-09 05:37:42.016000'), Timestamp('2026-03-09 05:37:42.184000'), Timestamp('2026-03-09 05:37:42.513000'), Timestamp('2026-03-09 05:37:42.698000'), Timestamp('2026-03-09 05:37:43.879000'), Timestamp('2026-03-09 05:37:44.057000')]","[0.139, 0.951, 0.143, 0.276, 0.153, 1.016, 0.155, 0.298, 0.174, 1.105, 0.168, 0.329, 0.185, 1.181, 0.178]","[17.021758198228788, 16.861584011843078, 16.340437367451237, 16.08044712801059, 15.920573149434139, 15.68966760400894, 14.953416149068325, 14.702619537353442, 14.534851735709964, 14.480823965436041, 13.764296697062136, 13.588661689927513, 13.494547178757704, 13.414519906323186, 13.115145723841376, 12.88599890814942]","[2.3660243895538016, 16.035366395262766, 2.3366825435455265, 4.438203407330923, 2.4358476918634233, 15.940702285673083, 2.3177795031055903, 4.381380622131325, 2.5290642020135334, 16.001310481806826, 2.312401845106439, 4.470669695986152, 2.4964912280701754, 15.842548009367682, 2.334495938843765]",96.238968239661,9.916598508801512,c:\git\RailwAI\VIDEO\20260309\ADTC Rueschlikon_00_20260309053739.mp4,2026-03-09 05:37:39,
ADTC_8_adz_raw_20260309_0550,2026-03-09 05:45:42.606,2026-03-09 05:45:52.667,"[Timestamp('2026-03-09 05:45:52.667000'), Timestamp('2026-03-09 05:45:52.758000'), Timestamp('2026-03-09 05:45:53.313000'), Timestamp('2026-03-09 05:45:53.398000'), Timestamp('2026-03-09 05:45:53.562000'), Timestamp('2026-03-09 05:45:53.652000'), Timestamp('2026-03-09 05:45:54.247000'), Timestamp('2026-03-09 05:45:54.336000'), Timestamp('2026-03-09 05:45:54.503000'), Timestamp('2026-03-09 05:45:54.592000'), Timestamp('2026-03-09 05:45:55.186000'), Timestamp('2026-03-09 05:45:55.269000'), Timestamp('2026-03-09 05:45:55.440000'), Timestamp('2026-03-09 05:45:55.534000'), Timestamp('2026-03-09 05:45:56.114000'), Timestamp('2026-03-09 05:45:56.210000'), Timestamp('2026-03-09 05:45:56.371000'), Timestamp('2026-03-09 05:45:56.461000'), Timestamp('2026-03-09 05:45:57.048000'), Timestamp('2026-03-09 05:45:57.137000'), Timestamp('2026-03-09 05:45:57.300000'), Timestamp('2026-03-09 05:45:57.395000'), Timestamp('2026-03-09 05:45:57.981000'), Timestamp('2026-03-09 05:45:58.065000'), Timestamp('2026-03-09 05:45:58.224000'), Timestamp('2026-03-09 05:45:58.320000'), Timestamp('2026-03-09 05:45:58.905000'), Timestamp('2026-03-09 05:45:58.994000'), Timestamp('2026-03-09 05:45:59.152000'), Timestamp('2026-03-09 05:45:59.245000'), Timestamp('2026-03-09 05:45:59.791000'), Timestamp('2026-03-09 05:45:59.875000')]","[0.091, 0.555, 0.085, 0.164, 0.09, 0.595, 0.089, 0.167, 0.089, 0.594, 0.083, 0.171, 0.094, 0.58, 0.096, 0.161, 0.09, 0.587, 0.089, 0.163, 0.095, 0.586, 0.084, 0.159, 0.096, 0.585, 0.089, 0.158, 0.093, 0.546, 0.084]","[26.778711484593835, 26.855720925865057, 26.968207248652618, 26.77829476665473, 26.78246252976607, 26.633830998922576, 26.896032144650924, 26.778711484593835, 26.855720925865057, 26.78246252976607, 27.351315372939276, 27.004700185158804, 26.928947989613654, 27.509196006305828, 27.390837159324015, 27.3921750598349, 27.132500878229482, 27.23409734741179, 27.272727272727266, 27.08044879446168, 27.217309592077683, 27.351315372939276, 27.66662514015199, 27.234535709111977, 27.203326563541058, 27.436634439508744, 27.627329192546583, 27.428795337104795, 27.390837159324015, 27.507163323782237, 27.70614692653673, 27.35242548217416]","[2.436862745098039, 14.904925113855109, 2.292297616135473, 4.391640341731376, 2.4104216276789465, 15.847129444358933, 2.3937468608739323, 4.472044817927171, 2.39015916240199, 15.908782742681046, 2.27015917595396, 4.617803731662156, 2.5313211110236833, 15.95533368365738, 2.6295203672951053, 4.410140184633419, 2.4419250790406535, 15.98641514293072, 2.427272727272727, 4.414113153497254, 2.58564441124738, 16.027870808542414, 2.3239965117727674, 4.330291177748805, 2.6115193500999414, 16.050431147112615, 2.4588322981366457, 4.333749663262558, 2.5473478558171334, 15.018911174785103, 2.327316341829085]",195.7479255700636,9.916598508801512,c:\git\RailwAI\VIDEO\20260309\ADTC Rueschlikon_00_20260309054554.mp4,2026-03-09 05:45:54,
ADTC_8_adz_raw_20260309_0600,2026-03-09 05:54:06.278,2026-03-09 05:54:16.362,"[Timestamp('2026-03-09 05:54:16.362000'), Timestamp('2026-03-09 05:54:16.491000'), Timestamp('2026-03-09 05:54:17.341000'), Timestamp('2026-03-09 05:54:17.471000'), Timestamp('2026-03-09 05:54:17.715000'), Timestamp('2026-03-09 05:54:17.858000'), Timestamp('2026-03-09 05:54:18.758000'), Timestamp('2026-03-09 05:54:18.886000'), Timestamp('2026-03-09 05:54:19.159000'), Timestamp('2026-03-09 05:54:19.299000'), Timestamp('2026-03-09 05:54:20.247000'), Timestamp('2026-03-09 05:54:20.391000'), Timestamp('2026-03-09 05:54:20.679000'), Timestamp('2026-03-09 05:54:20.835000'), Timestamp('2026-03-09 05:54:21.863000'), Timestamp('2026-03-09 05:54:22.016000')]","[0.129, 0.85, 0.13, 0.244, 0.143, 0.9, 0.128, 0.273, 0.14, 0.948, 0.144, 0.288, 0.156, 1.028, 0.153]","[18.916274518939574, 18.735719725818736, 18.252006072435478, 17.994771903195886, 17.696589125160553, 17.805402952440545, 17.235688499226406, 17.05172495385926, 16.90329460488301, 16.834184755546538, 16.13559322033898, 15.86885245901639, 15.636672325976228, 15.707932634418096, 14.897285011220156, 14.4836249112523]","[2.440199412943205, 15.925361766945926, 2.372760789416612, 4.390724344379796, 2.530612244897959, 16.02486265719649, 2.20616812790098, 4.655120912403579, 2.3664612446836215, 15.958807148258117, 2.323525423728813, 4.57022950819672, 2.4393208828522916, 16.147754748181804, 2.2792846067166836]",96.6311938187026,9.916598508801512,c:\git\RailwAI\VIDEO\20260309\ADTC Rueschlikon_00_20260309055418.mp4,2026-03-09 05:54:18,
ADTC_8_adz_raw_20260309_0610,2026-03-09 06:00:50.557,2026-03-09 06:00:53.656,"[Timestamp('2026-03-09 06:00:53.656000'), Timestamp('2026-03-09 06:00:53.754000'), Timestamp('2026-03-09 06:00:54.404000'), Timestamp('2026-03-09 06:00:54.499000'), Timestamp('2026-03-09 06:00:54.682000'), Timestamp('2026-03-09 06:00:54.777000'), Timestamp('2026-03-09 06:00:55.436000'), Timestamp('2026-03-09 06:00:55.531000'), Timestamp('2026-03-09 06:00:55.712000'), Timestamp('2026-03-09 06:00:55.813000'), Timestamp('2026-03-09 06:00:56.466000'), Timestamp('2026-03-09 06:00:56.563000'), Timestamp('2026-03-09 06:00:56.741000'), Timestamp('2026-03-09 06:00:56.843000'), Timestamp('2026-03-09 06:00:57.493000'), Timestamp('2026-03-09 06:00:57.587000'), Timestamp('2026-03-09 06:00:57.778000'), Timestamp('2026-03-09 06:00:57.875000'), Timestamp('2026-03-09 06:00:58.528000'), Timestamp('2026-03-09 06:00:58.622000'), Timestamp('2026-03-09 06:00:58.812000'), Timestamp('2026-03-09 06:00:58.906000'), Timestamp('2026-03-09 06:00:59.544000'), Timestamp('2026-03-09 06:00:59.556000'), Timestamp('2026-03-09 06:00:59.570000'), Timestamp('2026-03-09 06:00:59.655000'), Timestamp('2026-03-09 06:00:59.832000'), Timestamp('2026-03-09 06:00:59.937000'), Timestamp('2026-03-09 06:01:00.588000'), Timestamp('2026-03-09 06:01:00.682000'), Timestamp('2026-03-09 06:01:00.861000'), Timestamp('2026-03-09 06:01:00.965000'), Timestamp('2026-03-09 06:01:01.617000'), Timestamp('2026-03-09 06:01:01.711000')]","[0.098, 0.65, 0.095, 0.183, 0.095, 0.659, 0.095, 0.181, 0.101, 0.653, 0.097, 0.178, 0.102, 0.65, 0.094, 0.191, 0.097, 0.653, 0.094, 0.19, 0.094, 0.638, 0.012, 0.014, 0.085, 0.177, 0.105, 0.651, 0.094, 0.179, 0.104, 0.652, 0.094]","[24.521432765707576, 24.191183471389124, 24.46530834859169, 24.309406432504854, 24.213740458015266, 24.277767120659888, 24.679315608953388, 24.427639075934948, 24.96955921746895, 24.686657147390136, 24.928934215312488, 24.647023927229583, 24.495534668159458, 24.49123035371449, 24.691880454906116, 24.583907141451903, 24.75032393102761, 24.936579046796574, 24.78611977292716, 25.10769230769231, 24.725209159252728, 24.647023927229583, 24.921212121212122, 25.082373165790067, 24.9031007751938, 25.499132250645516, 25.300000000000004, 24.974627532172292, 25.29859452252653, 25.39842519685039, 25.569584338204002, 25.39753639417694]","[2.4031004110393424, 15.72426925640293, 2.324204293116211, 4.448621377148388, 2.30030534351145, 15.999048532514868, 2.344534982850572, 4.421402672744225, 2.5219254809643643, 16.12038711724576, 2.4181066188853113, 4.387170259046866, 2.4985445361522647, 15.919299729914417, 2.321036762761175, 4.695526264017314, 2.400781421309678, 16.283586117558162, 2.3298952586551533, 4.770461538461539, 2.3241696609697566, 15.724801265572474, 0.29905454545454546, 0.35115322432106094, 2.116763565891473, 4.5133464083642565, 2.6565000000000003, 16.25848252344416, 2.3780678851174937, 4.54631811023622, 2.6592367711732163, 16.559193729003365]",197.01929566384803,9.916598508801512,c:\git\RailwAI\VIDEO\20260309\ADTC Rueschlikon_00_20260309060055.mp4,2026-03-09 06:00:55,
ADTC_8_adz_raw_20260309_0630,2026-03-09 06:23:13.579,2026-03-09 06:23:23.670,"[Timestamp('2026-03-09 06:23:23.670000'), Timestamp('2026-03-09 06:23:23.807000'), Timestamp('2026-03-09 06:23:24.208000'), Timestamp('2026-03-09 06:23:24.347000'), Timestamp('2026-03-09 06:23:24.605000'), Timestamp('2026-03-09 06:23:24.734000'), Timestamp('2026-03-09 06:23:25.693000'), Timestamp('2026-03-09 06:23:25.822000'), Timestamp('2026-03-09 06:23:26.071000'), Timestamp('2026-03-09 06:23:26.216000'), Timestamp('2026-03-09 06:23:27.227000'), Timestamp('2026-03-09 06:23:27.365000'), Timestamp('2026-03-09 06:23:27.627000'), Timestamp('2026-03-09 06:23:27.781000'), Timestamp('2026-03-09 06:23:28.857000'), Timestamp('2026-03-09 06:23:29.010000')]","[0.137, 0.401, 0.139, 0.258, 0.129, 0.959, 0.129, 0.249, 0.145, 1.011, 0.138, 0.262, 0.154, 1.076, 0.153]","[19.27741935483871, 19.28091790849146, 18.805977022079986, 18.67767906823576, 18.58958497356878, 18.514706155589828, 17.911445279866328, 17.64759552186857, 17.502409838790093, 17.599478892108507, 16.768674066525502, 16.580756013745702, 16.299563281013533, 16.35493692909961, 15.598321058050207, 15.392363430803226]","[2.6410064516129035, 7.731648081305076, 2.614030806069118, 4.818841199604827, 2.3980564615903726, 17.755603203210644, 2.3105764411027563, 4.394251284945274, 2.5378494266245633, 17.7930731599217, 2.3140770211805197, 4.344158075601374, 2.510132745276084, 17.59791213571118, 2.3865431218816817]",94.14775961563808,9.916598508801512,c:\git\RailwAI\VIDEO\20260309\ADTC Rueschlikon_00_20260309062325.mp4,2026-03-09 06:23:25,
