file,timestamp_raw,timestamp,timestamp_serie,delta_t,velocity,length,total_length,first_peak_raw,video,timestamp_video,train_class,train_type
ADTC_8_adz_raw_20260305_0010,2026-03-05 00:07:29.580,2026-03-05 00:07:39.630,"[Timestamp('2026-03-05 00:07:39.630000'), Timestamp('2026-03-05 00:07:39.741000'), Timestamp('2026-03-05 00:07:40.501000'), Timestamp('2026-03-05 00:07:40.616000'), Timestamp('2026-03-05 00:07:40.813000'), Timestamp('2026-03-05 00:07:40.935000'), Timestamp('2026-03-05 00:07:41.782000'), Timestamp('2026-03-05 00:07:41.899000'), Timestamp('2026-03-05 00:07:42.090000'), Timestamp('2026-03-05 00:07:42.224000'), Timestamp('2026-03-05 00:07:43.113000'), Timestamp('2026-03-05 00:07:43.240000'), Timestamp('2026-03-05 00:07:43.443000'), Timestamp('2026-03-05 00:07:43.582000'), Timestamp('2026-03-05 00:07:44.528000'), Timestamp('2026-03-05 00:07:44.663000'), Timestamp('2026-03-05 00:07:44.881000'), Timestamp('2026-03-05 00:07:45.033000'), Timestamp('2026-03-05 00:07:46.036000'), Timestamp('2026-03-05 00:07:46.190000'), Timestamp('2026-03-05 00:07:46.433000'), Timestamp('2026-03-05 00:07:46.594000'), Timestamp('2026-03-05 00:07:47.617000'), Timestamp('2026-03-05 00:07:47.778000')]","[0.111, 0.76, 0.115, 0.197, 0.122, 0.847, 0.117, 0.191, 0.134, 0.889, 0.127, 0.203, 0.139, 0.946, 0.135, 0.218, 0.152, 1.003, 0.154, 0.243, 0.161, 1.023, 0.161]","[20.803711460260516, 20.562779497764012, 20.189475360242017, 19.878844002006403, 19.802232854864428, 19.75032984877702, 19.222474324335156, 19.009975531714662, 18.9352058978, 18.785578747628087, 18.285780628682552, 17.911008851775406, 17.82805117770804, 17.62631009773304, 17.20452209660843, 16.73963806187974, 16.73943447856491, 16.77072081143924, 15.993607883610213, 15.534631377190316, 15.523705442813593, 15.410302393172962, 14.557494654066359, 14.317872427507542]","[2.3092119720889173, 15.62771241830065, 2.321789666427832, 3.9161322683952617, 2.41587240829346, 16.728529381914136, 2.2490294959472132, 3.6309053265575004, 2.5373175903052, 16.70037950664137, 2.322294139842684, 3.6359347969104077, 2.478099113701418, 16.674489352455456, 2.322610483042138, 3.6492410974897838, 2.5443940407418664, 16.821032973873557, 2.4630156140759727, 3.7749154246572467, 2.4993165762929888, 15.764739348215938, 2.343756639304684]",145.73071963547565,9.92535712202217,c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305000740.mp4,2026-03-05 00:07:40,RABe 511,Trieb
ADTC_8_adz_raw_20260305_0030,2026-03-05 00:22:40.512,2026-03-05 00:22:50.564,"[Timestamp('2026-03-05 00:22:50.564000'), Timestamp('2026-03-05 00:22:50.697000'), Timestamp('2026-03-05 00:22:51.565000'), Timestamp('2026-03-05 00:22:51.690000'), Timestamp('2026-03-05 00:22:51.941000'), Timestamp('2026-03-05 00:22:52.082000'), Timestamp('2026-03-05 00:22:52.966000'), Timestamp('2026-03-05 00:22:53.102000'), Timestamp('2026-03-05 00:22:53.362000'), Timestamp('2026-03-05 00:22:53.502000'), Timestamp('2026-03-05 00:22:54.433000'), Timestamp('2026-03-05 00:22:54.571000'), Timestamp('2026-03-05 00:22:54.840000'), Timestamp('2026-03-05 00:22:54.992000'), Timestamp('2026-03-05 00:22:55.966000'), Timestamp('2026-03-05 00:22:56.116000')]","[0.133, 0.868, 0.125, 0.251, 0.141, 0.884, 0.136, 0.26, 0.14, 0.931, 0.138, 0.269, 0.152, 0.974, 0.15]","[18.641057834786842, 18.586797615923828, 18.32488197237279, 18.045112781954884, 17.91044776119403, 17.93857169775768, 17.53753753753754, 17.220077220077222, 17.189022826365736, 17.115780039852922, 16.813073563331205, 16.594653710310702, 16.424306287319986, 16.42776840921866, 15.85476286590222, 15.49758957654723]","[2.4792606920266502, 16.133340330621884, 2.2906102465465987, 4.529323308270676, 2.525373134328358, 15.85769738081779, 2.3851051051051053, 4.477220077220078, 2.4064631956912033, 15.93479121710307, 2.3202041517397065, 4.463961848073579, 2.496494555672638, 16.000646430578975, 2.378214429885333]",96.67870610368163,9.91707427522798,c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305002251.mp4,2026-03-05 00:22:51,DTZ,Trieb
ADTC_8_adz_raw_20260305_0450,2026-03-05 04:44:12.568,2026-03-05 04:44:22.605,"[Timestamp('2026-03-05 04:44:22.605000'), Timestamp('2026-03-05 04:44:22.704000'), Timestamp('2026-03-05 04:44:23.380000'), Timestamp('2026-03-05 04:44:23.482000'), Timestamp('2026-03-05 04:44:23.675000'), Timestamp('2026-03-05 04:44:23.778000'), Timestamp('2026-03-05 04:44:24.454000'), Timestamp('2026-03-05 04:44:24.555000'), Timestamp('2026-03-05 04:44:24.742000'), Timestamp('2026-03-05 04:44:24.846000'), Timestamp('2026-03-05 04:44:25.524000'), Timestamp('2026-03-05 04:44:25.628000'), Timestamp('2026-03-05 04:44:25.815000'), Timestamp('2026-03-05 04:44:25.920000'), Timestamp('2026-03-05 04:44:26.605000'), Timestamp('2026-03-05 04:44:26.703000')]","[0.099, 0.676, 0.102, 0.193, 0.103, 0.676, 0.101, 0.187, 0.104, 0.678, 0.104, 0.187, 0.105, 0.685, 0.098]","[23.620560249860787, 23.480866179874052, 23.414773437081717, 23.359876853852754, 23.502337288745057, 23.905596679778235, 23.24673268719987, 23.35780251006394, 23.19057066168748, 23.24509717702928, 23.416862997072897, 23.472022955523677, 23.446054750402578, 23.558601418815567, 23.734780695320524, 23.617987048356838]","[2.338435464736218, 15.87306553759486, 2.388306890582335, 4.5084562327935815, 2.4207407407407406, 16.160183355530087, 2.347920001407187, 4.367909069381957, 2.4118193488154978, 15.760175886025852, 2.435353751695581, 4.389268292682927, 2.4618357487922706, 16.137641971888666, 2.3260085081414115]",96.32712080080918,9.928104781941569,c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305044423.mp4,2026-03-05 04:44:23,DTZ,Trieb
ADTC_8_adz_raw_20260305_0500,2026-03-05 04:56:10.605,2026-03-05 04:56:20.669,"[Timestamp('2026-03-05 04:56:20.669000'), Timestamp('2026-03-05 04:56:20.811000'), Timestamp('2026-03-05 04:56:21.825000'), Timestamp('2026-03-05 04:56:21.972000'), Timestamp('2026-03-05 04:56:22.264000'), Timestamp('2026-03-05 04:56:22.432000'), Timestamp('2026-03-05 04:56:23.517000'), Timestamp('2026-03-05 04:56:23.679000'), Timestamp('2026-03-05 04:56:23.999000'), Timestamp('2026-03-05 04:56:24.191000'), Timestamp('2026-03-05 04:56:25.372000'), Timestamp('2026-03-05 04:56:25.553000'), Timestamp('2026-03-05 04:56:25.910000'), Timestamp('2026-03-05 04:56:26.117000'), Timestamp('2026-03-05 04:56:27.448000'), Timestamp('2026-03-05 04:56:27.660000')]","[0.142, 1.014, 0.147, 0.292, 0.168, 1.085, 0.162, 0.32, 0.192, 1.181, 0.181, 0.357, 0.207, 1.331, 0.212]","[16.107427895781427, 15.766990291262132, 15.262321144674086, 15.001318475256616, 14.71514080867498, 14.583035364137581, 13.883219006190394, 13.64611747590471, 13.503418586984047, 13.454905925191632, 12.590169348097543, 12.214709257997207, 12.090756814374902, 11.94295900178253, 11.05372010394018, 10.708473310936917]","[2.2872547612009626, 15.987728155339802, 2.2435612082670904, 4.380384994774931, 2.472143655857397, 15.822593370089274, 2.249081479002844, 4.366757592289507, 2.592656368700937, 15.890243897651319, 2.2788206520056553, 4.360651205105003, 2.502786660575605, 15.896078431372546, 2.343388662035318]",95.6741310942682,9.911424981141105,c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305045621.mp4,2026-03-05 04:56:21,DTZ,Trieb
ADTC_8_adz_raw_20260305_0540,2026-03-05 05:37:28.795,2026-03-05 05:37:38.842,"[Timestamp('2026-03-05 05:37:38.842000'), Timestamp('2026-03-05 05:37:38.956000'), Timestamp('2026-03-05 05:37:39.751000'), Timestamp('2026-03-05 05:37:39.867000'), Timestamp('2026-03-05 05:37:40.098000'), Timestamp('2026-03-05 05:37:40.218000'), Timestamp('2026-03-05 05:37:41.036000'), Timestamp('2026-03-05 05:37:41.154000'), Timestamp('2026-03-05 05:37:41.394000'), Timestamp('2026-03-05 05:37:41.525000'), Timestamp('2026-03-05 05:37:42.379000'), Timestamp('2026-03-05 05:37:42.509000'), Timestamp('2026-03-05 05:37:42.756000'), Timestamp('2026-03-05 05:37:42.888000'), Timestamp('2026-03-05 05:37:43.796000'), Timestamp('2026-03-05 05:37:43.934000')]","[0.114, 0.795, 0.116, 0.231, 0.12, 0.818, 0.118, 0.24, 0.131, 0.854, 0.13, 0.247, 0.132, 0.908, 0.138]","[20.180893159977387, 20.1769723944259, 19.876543209876544, 19.695809169493376, 19.61236039465117, 19.843181468764413, 19.03025540275049, 18.791298452062193, 18.577075098814227, 18.699975745816154, 18.080699165768117, 18.066709156575314, 17.70248405824688, 17.733990147783253, 17.108470444850703, 16.81552088760842]","[2.300621820237422, 16.040693053568592, 2.305679012345679, 4.54973191815297, 2.3534832473581404, 16.23172244144929, 2.245570137524558, 4.509911628494926, 2.433596837944664, 15.969779286926995, 2.3504908915498555, 4.462477161674102, 2.3367278956885884, 16.102463054187194, 2.360968921389397]",96.55391730849236,9.922366895259072,c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305053739.mp4,2026-03-05 05:37:39,DTZ,Trieb
ADTC_8_adz_raw_20260305_0550,2026-03-05 05:45:59.171,2026-03-05 05:46:09.206,"[Timestamp('2026-03-05 05:46:09.206000'), Timestamp('2026-03-05 05:46:09.296000'), Timestamp('2026-03-05 05:46:09.835000'), Timestamp('2026-03-05 05:46:09.922000'), Timestamp('2026-03-05 05:46:10.080000'), Timestamp('2026-03-05 05:46:10.174000'), Timestamp('2026-03-05 05:46:10.754000'), Timestamp('2026-03-05 05:46:10.836000'), Timestamp('2026-03-05 05:46:10.997000'), Timestamp('2026-03-05 05:46:11.088000'), Timestamp('2026-03-05 05:46:11.670000'), Timestamp('2026-03-05 05:46:11.752000'), Timestamp('2026-03-05 05:46:11.911000'), Timestamp('2026-03-05 05:46:12.001000'), Timestamp('2026-03-05 05:46:12.577000'), Timestamp('2026-03-05 05:46:12.660000'), Timestamp('2026-03-05 05:46:12.819000'), Timestamp('2026-03-05 05:46:12.908000'), Timestamp('2026-03-05 05:46:13.485000'), Timestamp('2026-03-05 05:46:13.570000'), Timestamp('2026-03-05 05:46:13.729000'), Timestamp('2026-03-05 05:46:13.809000'), Timestamp('2026-03-05 05:46:14.393000'), Timestamp('2026-03-05 05:46:14.476000'), Timestamp('2026-03-05 05:46:14.638000'), Timestamp('2026-03-05 05:46:14.723000'), Timestamp('2026-03-05 05:46:15.294000'), Timestamp('2026-03-05 05:46:15.378000'), Timestamp('2026-03-05 05:46:15.536000'), Timestamp('2026-03-05 05:46:15.624000'), Timestamp('2026-03-05 05:46:16.154000'), Timestamp('2026-03-05 05:46:16.238000')]","[0.09, 0.539, 0.087, 0.158, 0.094, 0.58, 0.082, 0.161, 0.091, 0.582, 0.082, 0.159, 0.09, 0.576, 0.083, 0.159, 0.089, 0.577, 0.085, 0.159, 0.08, 0.584, 0.083, 0.162, 0.085, 0.571, 0.084, 0.158, 0.088, 0.53, 0.084]","[27.38994529825475, 27.509196006305828, 27.35242548217416, 27.272947386261833, 27.17271198654816, 27.31157731157731, 27.705685395878795, 27.318210521202698, 27.331486611265, 27.469216662300234, 27.949078704253044, 27.628702047306696, 27.556214479861623, 27.715380769871686, 27.922077922077914, 27.671451355661873, 27.688701593397006, 27.551222083141177, 28.0392959476054, 28.094194961664833, 28.23188005251157, 27.58643468782772, 28.44600526777875, 28.158546655656473, 28.324745857122956, 28.2906843512378, 28.539623641664456, 28.32252730516514, 28.418286915396735, 28.707312712318966, 28.57775690832898, 28.57547838412473]","[2.4650950768429274, 14.827456647398842, 2.3796610169491514, 4.30912568702937, 2.554234926735527, 15.840714840714838, 2.2718662024620615, 4.398231893913635, 2.487165281625115, 15.987084097458736, 2.2918244537487498, 4.392963625521765, 2.480059303187546, 15.96405932344609, 2.317532467532467, 4.399760765550238, 2.4642944418123336, 15.897055141972459, 2.3833401555464593, 4.466976998904708, 2.2585504042009257, 16.110477857691386, 2.3610184372256366, 4.561684558216348, 2.4076033978554516, 16.15398076455678, 2.3973283858998142, 4.4749593142160915, 2.5008092485549125, 15.214875737529052, 2.4005315802996345]",195.420322034599,9.94656477229475,c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305054610.mp4,2026-03-05 05:46:10,unknown,Trieb
ADTC_8_adz_raw_20260305_0600,2026-03-05 05:53:45.592,2026-03-05 05:53:55.632,"[Timestamp('2026-03-05 05:53:55.632000'), Timestamp('2026-03-05 05:53:55.773000'), Timestamp('2026-03-05 05:53:56.738000'), Timestamp('2026-03-05 05:53:56.882000'), Timestamp('2026-03-05 05:53:57.167000'), Timestamp('2026-03-05 05:53:57.324000'), Timestamp('2026-03-05 05:53:58.354000'), Timestamp('2026-03-05 05:53:58.509000'), Timestamp('2026-03-05 05:53:58.816000'), Timestamp('2026-03-05 05:53:58.990000'), Timestamp('2026-03-05 05:54:00.111000'), Timestamp('2026-03-05 05:54:00.280000'), Timestamp('2026-03-05 05:54:00.609000'), Timestamp('2026-03-05 05:54:00.795000'), Timestamp('2026-03-05 05:54:02.015000'), Timestamp('2026-03-05 05:54:02.199000')]","[0.141, 0.965, 0.144, 0.285, 0.157, 1.03, 0.155, 0.307, 0.174, 1.121, 0.169, 0.329, 0.186, 1.22, 0.184]","[16.580310880829018, 16.674878686076894, 15.903434068561156, 15.786618541972144, 15.59343583600623, 15.605680868838762, 14.627464839157478, 14.48332458132435, 14.257537334460412, 14.390046943357381, 13.540197461212975, 13.346058645064673, 13.132744158852235, 13.235850627431391, 12.50550328497242, 12.481182242305792]","[2.3378238341968913, 16.091257932064202, 2.290094505872806, 4.499186284462061, 2.4481694262529783, 16.073851294903925, 2.267257050069409, 4.446380646466576, 2.4808114961961114, 16.131242623503624, 2.288293370944993, 4.390853294226278, 2.4426904135465155, 16.147737765466296, 2.3010126044349253]",96.63666254260758,9.889537338119752,c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305055356.mp4,2026-03-05 05:53:56,DTZ,Trieb
ADTC_8_adz_raw_20260305_0610,2026-03-05 06:07:03.661,2026-03-05 06:07:13.707,"[Timestamp('2026-03-05 06:07:13.707000'), Timestamp('2026-03-05 06:07:13.803000'), Timestamp('2026-03-05 06:07:14.465000'), Timestamp('2026-03-05 06:07:14.567000'), Timestamp('2026-03-05 06:07:14.749000'), Timestamp('2026-03-05 06:07:14.858000'), Timestamp('2026-03-05 06:07:15.547000'), Timestamp('2026-03-05 06:07:15.643000'), Timestamp('2026-03-05 06:07:15.841000'), Timestamp('2026-03-05 06:07:15.944000'), Timestamp('2026-03-05 06:07:16.663000'), Timestamp('2026-03-05 06:07:16.769000'), Timestamp('2026-03-05 06:07:16.973000'), Timestamp('2026-03-05 06:07:17.086000'), Timestamp('2026-03-05 06:07:17.838000'), Timestamp('2026-03-05 06:07:17.952000'), Timestamp('2026-03-05 06:07:18.171000'), Timestamp('2026-03-05 06:07:18.287000'), Timestamp('2026-03-05 06:07:19.078000'), Timestamp('2026-03-05 06:07:19.199000'), Timestamp('2026-03-05 06:07:19.429000'), Timestamp('2026-03-05 06:07:19.559000'), Timestamp('2026-03-05 06:07:20.402000'), Timestamp('2026-03-05 06:07:20.529000'), Timestamp('2026-03-05 06:07:20.784000'), Timestamp('2026-03-05 06:07:20.919000'), Timestamp('2026-03-05 06:07:21.830000'), Timestamp('2026-03-05 06:07:21.971000'), Timestamp('2026-03-05 06:07:22.240000'), Timestamp('2026-03-05 06:07:22.392000'), Timestamp('2026-03-05 06:07:23.392000'), Timestamp('2026-03-05 06:07:23.543000')]","[0.096, 0.662, 0.102, 0.182, 0.109, 0.689, 0.096, 0.198, 0.103, 0.719, 0.106, 0.204, 0.113, 0.752, 0.114, 0.219, 0.116, 0.791, 0.121, 0.23, 0.13, 0.843, 0.127, 0.255, 0.135, 0.911, 0.141, 0.269, 0.152, 1.0, 0.151]","[23.675375857539045, 24.000000000000004, 23.559168925022583, 23.558317675964737, 23.73391030107448, 23.30151997172146, 22.37871674491393, 22.829996606718698, 22.32606438213915, 22.641509433962266, 21.63259505877099, 21.721235948154067, 21.481778133760514, 21.432415731456935, 20.587315889156535, 20.693115302424978, 20.23292380673187, 20.27638258200926, 19.67510541434979, 19.63395456218423, 19.39465177784308, 19.038633897825363, 18.39107457428068, 18.537239991053454, 17.86060421454878, 17.861717078709248, 16.9461738366332, 16.94627944659105, 16.609195402298848, 16.316911293257316, 15.384615384615381, 15.447710184552289]","[2.2728360823237486, 15.888000000000003, 2.4030352303523035, 4.287613817025582, 2.5869962228171186, 16.054747260516084, 2.148356807511737, 4.520339328130302, 2.2995846313603323, 16.27924528301887, 2.2930550762297246, 4.4311321334234295, 2.427440929114938, 16.117176630055614, 2.346954011363845, 4.53179225123107, 2.347019161580897, 16.038618622369324, 2.3806877551363246, 4.515809549302373, 2.5213047311196006, 16.04956837586678, 2.3356664709336465, 4.7269961977186306, 2.411181568964085, 16.272024258704125, 2.389410510965281, 4.558549171132992, 2.5245977011494247, 16.316911293257316, 2.3230769230769224]",198.59972798575245,9.938528034103198,c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305060715.mp4,2026-03-05 06:07:15,DTZ x2,Trieb
ADTC_8_adz_raw_20260305_0630,2026-03-05 06:23:04.742,2026-03-05 06:23:14.791,"[Timestamp('2026-03-05 06:23:14.791000'), Timestamp('2026-03-05 06:23:14.907000'), Timestamp('2026-03-05 06:23:15.251000'), Timestamp('2026-03-05 06:23:15.370000'), Timestamp('2026-03-05 06:23:15.595000'), Timestamp('2026-03-05 06:23:15.697000'), Timestamp('2026-03-05 06:23:16.505000'), Timestamp('2026-03-05 06:23:16.616000'), Timestamp('2026-03-05 06:23:16.822000'), Timestamp('2026-03-05 06:23:16.934000'), Timestamp('2026-03-05 06:23:17.767000'), Timestamp('2026-03-05 06:23:17.879000'), Timestamp('2026-03-05 06:23:18.097000'), Timestamp('2026-03-05 06:23:18.213000'), Timestamp('2026-03-05 06:23:19.082000'), Timestamp('2026-03-05 06:23:19.200000')]","[0.116, 0.344, 0.119, 0.225, 0.102, 0.808, 0.111, 0.206, 0.112, 0.833, 0.112, 0.218, 0.116, 0.869, 0.118]","[22.354025481160207, 22.456908344733243, 22.456416822614003, 22.196561457531434, 22.325702140087287, 21.999621999622, 21.622060345352352, 21.574776904080114, 21.405985880481254, 21.368723383183124, 20.847519971328055, 20.667599810899247, 20.578990901571544, 20.6023763470572, 20.04210306097098, 19.8159509202454]","[2.5930669558145842, 7.725176470588235, 2.6723136018910663, 4.994226327944573, 2.277221618288903, 17.775694575694576, 2.400048698334111, 4.444404042240503, 2.3974704186139006, 17.80014657819154, 2.334922236788742, 4.505536758776036, 2.387162944582299, 17.903465045592707, 2.3649681611945756]",94.57582443453636,9.939713177880726,c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305062315.mp4,2026-03-05 06:23:15,DPZ,Lok
ADTC_8_adz_raw_20260305_0640,2026-03-05 06:30:53.406,2026-03-05 06:31:03.485,"[Timestamp('2026-03-05 06:31:03.485000'), Timestamp('2026-03-05 06:31:03.594000'), Timestamp('2026-03-05 06:31:04.349000'), Timestamp('2026-03-05 06:31:04.459000'), Timestamp('2026-03-05 06:31:04.674000'), Timestamp('2026-03-05 06:31:04.789000'), Timestamp('2026-03-05 06:31:05.542000'), Timestamp('2026-03-05 06:31:05.653000'), Timestamp('2026-03-05 06:31:05.864000'), Timestamp('2026-03-05 06:31:05.982000'), Timestamp('2026-03-05 06:31:06.736000'), Timestamp('2026-03-05 06:31:06.852000'), Timestamp('2026-03-05 06:31:07.062000'), Timestamp('2026-03-05 06:31:07.176000'), Timestamp('2026-03-05 06:31:07.931000'), Timestamp('2026-03-05 06:31:08.045000'), Timestamp('2026-03-05 06:31:08.258000'), Timestamp('2026-03-05 06:31:08.374000'), Timestamp('2026-03-05 06:31:09.128000'), Timestamp('2026-03-05 06:31:09.239000'), Timestamp('2026-03-05 06:31:09.451000'), Timestamp('2026-03-05 06:31:09.568000'), Timestamp('2026-03-05 06:31:10.325000'), Timestamp('2026-03-05 06:31:10.438000'), Timestamp('2026-03-05 06:31:10.649000'), Timestamp('2026-03-05 06:31:10.767000'), Timestamp('2026-03-05 06:31:11.528000'), Timestamp('2026-03-05 06:31:11.636000'), Timestamp('2026-03-05 06:31:11.851000'), Timestamp('2026-03-05 06:31:11.966000'), Timestamp('2026-03-05 06:31:12.725000'), Timestamp('2026-03-05 06:31:12.838000')]","[0.109, 0.755, 0.11, 0.215, 0.115, 0.753, 0.111, 0.211, 0.118, 0.754, 0.116, 0.21, 0.114, 0.755, 0.114, 0.213, 0.116, 0.754, 0.111, 0.212, 0.117, 0.757, 0.113, 0.211, 0.118, 0.761, 0.108, 0.215, 0.115, 0.759, 0.113]","[21.192052980132445, 21.076375835044388, 21.12520577127917, 21.030809098761875, 21.007469833365256, 21.06276102311438, 21.123364866042465, 21.00666513445185, 20.82468696621917, 21.13134444013948, 21.122342279539907, 21.103896103896105, 21.007469833365256, 21.16891957599922, 21.14547703951677, 21.146297796775457, 21.192466070514847, 21.174479343988015, 21.215702745733903, 21.075766338924232, 20.984834730092594, 21.081456340635604, 21.16891957599922, 21.055163026487293, 20.9842331581462, 21.174479343988015, 21.263736263736263, 20.983631620689323, 21.192466070514847, 21.122342279539907, 21.215702745733903, 21.10144927536232]","[2.3099337748344366, 15.912663755458514, 2.323772634840709, 4.521623956233803, 2.4158590308370047, 15.860259050405128, 2.3446935001307136, 4.43240634336934, 2.4573130620138617, 15.933033707865167, 2.4501917044266293, 4.431818181818182, 2.394851561003639, 15.98253427987941, 2.410584382504912, 4.5041614307131725, 2.4583260641797224, 15.965557425366963, 2.3549430047764632, 4.468062463851937, 2.455225663420834, 15.958662449861153, 2.392087912087912, 4.442639398588819, 2.4761395126612515, 16.11377878077488, 2.2964835164835162, 4.511480798448204, 2.4371335981092077, 16.03185779017079, 2.3973744102679313]",197.4454531453842,9.95938737014438,c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305063105.mp4,2026-03-05 06:31:05,DTZ x2,Trieb
