Time [s],Distance[mm]
0.0,-0.0008862334652803838
0.000988945566458131,-0.000925717584323138
0.001977891132916262,-0.0009696095949038863
0.002966836699374393,-0.0010158703662455082
0.003955782265832524,-0.0010639287065714598
0.004944727832290655,-0.0011120853014290333
0.005933673398748786,-0.0011606939369812608
0.006922618965206917,-0.0012116654543206096
0.007911564531665048,-0.0012651043944060802
0.00890051009812318,-0.0013240642147138715
0.00988945566458131,-0.0013903272338211536
0.01087840123103944,-0.0014544136356562376
0.011867346797497572,-0.0015026323962956667
0.012856292363955704,-0.0015322138788178563
0.013845237930413834,-0.0015517332358285785
0.014834183496871964,-0.001569403801113367
0.015823129063330096,-0.0015860917046666145
0.01681207462978823,-0.0016021099872887135
0.01780102019624636,-0.0016206715954467654
0.01878996576270449,-0.0016391234239563346
0.01977891132916262,-0.001648596255108714
0.020767856895620752,-0.0016457843594253063
0.02175680246207888,-0.0016367295756936073
0.022745748028537013,-0.001628282479941845
0.023734693594995145,-0.0016236230731010437
0.024723639161453276,-0.0016213991912081838
0.02571258472791141,-0.0016160944942384958
0.026701530294369537,-0.0016083079390227795
0.02769047586082767,-0.0016053643776103854
0.0286794214272858,-0.0016061215428635478
0.02966836699374393,-0.0016038190806284547
0.03065731256020206,-0.0015985749196261168
0.03164625812666019,-0.0015952012035995722
0.03263520369311832,-0.0015971974935382605
0.03362414925957646,-0.001605495810508728
0.034613094826034585,-0.0016207507578656077
0.03560204039249272,-0.0016445501241832972
0.03659098595895085,-0.001675003208220005
0.03757993152540898,-0.0017062516417354345
0.03856887709186711,-0.0017393417656421661
0.03955782265832524,-0.0017811713041737676
0.04054676822478337,-0.0018300299998372793
0.041535713791241505,-0.0018777236109599471
0.04252465935769963,-0.0019226283766329288
0.04351360492415776,-0.001971885561943054
0.0445025504906159,-0.0020346338860690594
0.045491496057074025,-0.002117013791576028
0.04648044162353216,-0.002219810150563717
0.04746938718999029,-0.0023365558590739965
0.04845833275644842,-0.0024597470182925463
0.04944727832290655,-0.002589214826002717
0.05043622388936468,-0.0027279513888061047
0.05142516945582282,-0.002871254924684763
0.052414115022280945,-0.0030085386242717505
0.053403060588739074,-0.003134306985884905
0.05439200615519721,-0.0032515847124159336
0.05538095172165534,-0.003367208642885089
0.056369897288113466,-0.0034840458538383245
0.0573588428545716,-0.00359966023825109
0.05834778842102973,-0.0037083199713379145
0.05933673398748786,-0.0038054105825722218
0.06032567955394599,-0.0038910990115255117
0.06131462512040412,-0.0039696721360087395
0.06230357068686226,-0.00404985249042511
0.06329251625332039,-0.004137000534683466
0.06428146181977852,-0.004226051736623049
0.06527040738623664,-0.004309636075049639
0.06625935295269478,-0.004387593828141689
0.06724829851915291,-0.004463733173906803
0.06823724408561103,-0.0045377593487501144
0.06922618965206917,-0.0046068886294960976
0.0702151352185273,-0.0046745166182518005
0.07120408078498544,-0.004746649414300919
0.07219302635144356,-0.004821023438125849
0.0731819719179017,-0.004895388148725033
0.07417091748435983,-0.004974918439984322
0.07515986305081795,-0.005062843207269907
0.07614880861727609,-0.00515741016715765
0.07713775418373423,-0.005253814160823822
0.07812669975019235,-0.005346900317817926
0.07911564531665048,-0.005433857440948486
0.08010459088310862,-0.005511243361979723
0.08109353644956674,-0.005576682277023792
0.08208248201602487,-0.005634772591292858
0.08307142758248301,-0.005695182830095291
0.08406037314894113,-0.005767265800386667
0.08504931871539927,-0.005856805015355349
0.0860382642818574,-0.0059623499400913715
0.08702720984831552,-0.006077315658330917
0.08801615541477366,-0.006196061614900827
0.0890051009812318,-0.0063134548254311085
0.08999404654768993,-0.00642453134059906
0.09098299211414805,-0.0065265013836324215
0.09197193768060619,-0.006618992425501347
0.09296088324706432,-0.006704280152916908
0.09394982881352244,-0.006785848643630743
0.09493877437998058,-0.0068650864996016026
0.09592771994643871,-0.006940041668713093
0.09691666551289684,-0.007007332518696785
0.09790561107935497,-0.007067087572067976
0.0988945566458131,-0.007123830262571573
0.09988350221227123,-0.007177635561674833
0.10087244777872936,-0.007227715104818344
0.1018613933451875,-0.007280736230313778
0.10285033891164563,-0.007341509684920311
0.10383928447810375,-0.007411470171064138
0.10482823004456189,-0.007492815610021353
0.10581717561102003,-0.007583708968013525
0.10680612117747815,-0.007681173738092184
0.10779506674393628,-0.007783684879541397
0.10878401231039442,-0.007889142259955406
0.10977295787685254,-0.00799683015793562
