file,timestamp_raw,timestamp,timestamp_serie,delta_t,velocity,length,total_length,first_peak_raw
ADTC_8_adz_raw_20260306_0010,2026-03-06 00:07:23.981,2026-03-06 00:07:34.038,"[Timestamp('2026-03-06 00:07:34.038000'), Timestamp('2026-03-06 00:07:34.179000'), Timestamp('2026-03-06 00:07:35.088000'), Timestamp('2026-03-06 00:07:35.227000'), Timestamp('2026-03-06 00:07:35.458000'), Timestamp('2026-03-06 00:07:35.606000'), Timestamp('2026-03-06 00:07:36.619000'), Timestamp('2026-03-06 00:07:36.763000'), Timestamp('2026-03-06 00:07:36.990000'), Timestamp('2026-03-06 00:07:37.150000'), Timestamp('2026-03-06 00:07:38.215000'), Timestamp('2026-03-06 00:07:38.369000'), Timestamp('2026-03-06 00:07:38.622000'), Timestamp('2026-03-06 00:07:38.799000'), Timestamp('2026-03-06 00:07:39.944000'), Timestamp('2026-03-06 00:07:40.109000'), Timestamp('2026-03-06 00:07:40.380000'), Timestamp('2026-03-06 00:07:40.571000'), Timestamp('2026-03-06 00:07:41.813000'), Timestamp('2026-03-06 00:07:41.989000'), Timestamp('2026-03-06 00:07:42.294000'), Timestamp('2026-03-06 00:07:42.495000'), Timestamp('2026-03-06 00:07:43.759000'), Timestamp('2026-03-06 00:07:43.957000')]","[0.141, 0.909, 0.139, 0.231, 0.148, 1.013, 0.144, 0.227, 0.16, 1.065, 0.154, 0.253, 0.177, 1.145, 0.165, 0.271, 0.191, 1.242, 0.176, 0.305, 0.201, 1.264, 0.198]","[17.23657744081696, 17.113169476176104, 16.81281572336882, 16.608996539792386, 16.594752883523576, 16.45593419506463, 15.949000289771082, 15.675819781391628, 15.410739178495877, 15.374515315019593, 14.702619537353442, 14.404970957719843, 14.339066996854292, 14.183951393253718, 13.687471037291772, 13.374209321277505, 13.28750905182818, 13.318565692925375, 12.715231788079471, 12.45546870398573, 12.27629513343799, 12.176117463115835, 11.687849758133357, 11.387916380542826]","[2.430357419155191, 15.55587105384408, 2.3369813855482664, 3.8366782006920412, 2.456023426761489, 16.669861339600466, 2.2966560417270356, 3.5584110903758996, 2.4657182685593404, 16.373858810495864, 2.26420340875243, 3.6444576523031205, 2.5380148584432094, 16.240624345275506, 2.2584327211531425, 3.624410726066204, 2.5379142288991825, 16.541658590613316, 2.237880794701987, 3.7989179547156477, 2.4675353218210363, 15.390612473378416, 2.3141942521104046]",143.8392743649933,9.92474362397524
ADTC_8_adz_raw_20260306_0030,2026-03-06 00:26:12.669,2026-03-06 00:26:22.364,"[Timestamp('2026-03-06 00:26:22.364000'), Timestamp('2026-03-06 00:26:22.707000'), Timestamp('2026-03-06 00:26:22.806000'), Timestamp('2026-03-06 00:26:23.461000'), Timestamp('2026-03-06 00:26:23.558000'), Timestamp('2026-03-06 00:26:23.744000'), Timestamp('2026-03-06 00:26:23.847000'), Timestamp('2026-03-06 00:26:24.527000'), Timestamp('2026-03-06 00:26:24.629000'), Timestamp('2026-03-06 00:26:24.827000'), Timestamp('2026-03-06 00:26:24.932000'), Timestamp('2026-03-06 00:26:25.646000'), Timestamp('2026-03-06 00:26:25.756000'), Timestamp('2026-03-06 00:26:25.961000'), Timestamp('2026-03-06 00:26:26.075000'), Timestamp('2026-03-06 00:26:26.838000'), Timestamp('2026-03-06 00:26:26.949000')]","[0.343, 0.099, 0.655, 0.097, 0.186, 0.103, 0.68, 0.102, 0.198, 0.105, 0.714, 0.11, 0.205, 0.114, 0.763, 0.111]","[24.55387513736983, 24.373175588161377, 24.002400240024006, 23.881188118811885, 23.61712943910528, 23.662690101083687, 22.994308793831465, 22.729055757915383, 22.537198280612813, 22.603377210477333, 21.72045762842005, 21.533432242814392, 21.42899850523169, 21.234369959036826, 20.514319111630627, 20.34811661367678]","[8.421979172117853, 2.4129443832279764, 15.721572157215725, 2.3164752475247528, 4.392786075673582, 2.43725708041162, 15.636129979805396, 2.318363687307369, 4.462365259561337, 2.37335460710012, 15.508406746691914, 2.3686775467095833, 4.392944693572496, 2.4207181753301983, 15.652425482174168, 2.2586409441181226]",103.09504123854221,9.92474362397524
ADTC_8_adz_raw_20260306_0040,2026-03-06 00:39:34.364,2026-03-06 00:39:44.183,"[Timestamp('2026-03-06 00:39:44.183000'), Timestamp('2026-03-06 00:39:44.515000'), Timestamp('2026-03-06 00:39:44.640000'), Timestamp('2026-03-06 00:39:44.768000'), Timestamp('2026-03-06 00:39:44.890000'), Timestamp('2026-03-06 00:39:45.010000'), Timestamp('2026-03-06 00:39:45.145000')]","[0.332, 0.125, 0.128, 0.122, 0.12, 0.135]","[23.07692307692308, 23.273035015339048, 22.870107770845152, 23.330144218844126, 23.27440285875494, 23.36112163698371]","[7.661538461538463, 2.909129376917381, 2.9273737946681795, 2.846277594698983, 2.7929283430505927, 3.1537514209928013]",22.290998991866402,9.92474362397524
ADTC_8_adz_raw_20260306_0450,2026-03-06 04:44:34.122,2026-03-06 04:44:44.170,"[Timestamp('2026-03-06 04:44:44.170000'), Timestamp('2026-03-06 04:44:44.278000'), Timestamp('2026-03-06 04:44:44.997000'), Timestamp('2026-03-06 04:44:45.106000'), Timestamp('2026-03-06 04:44:45.311000'), Timestamp('2026-03-06 04:44:45.420000'), Timestamp('2026-03-06 04:44:46.146000'), Timestamp('2026-03-06 04:44:46.249000'), Timestamp('2026-03-06 04:44:46.454000'), Timestamp('2026-03-06 04:44:46.559000'), Timestamp('2026-03-06 04:44:47.281000'), Timestamp('2026-03-06 04:44:47.387000'), Timestamp('2026-03-06 04:44:47.592000'), Timestamp('2026-03-06 04:44:47.700000'), Timestamp('2026-03-06 04:44:48.425000'), Timestamp('2026-03-06 04:44:48.528000')]","[0.108, 0.719, 0.109, 0.205, 0.109, 0.726, 0.103, 0.205, 0.105, 0.722, 0.106, 0.205, 0.108, 0.725, 0.103]","[22.222341297696424, 22.22984562607204, 22.222698531775805, 22.121694807263463, 22.24871902291257, 22.285778919643864, 22.53533544565367, 22.35305598022314, 22.312925170068027, 22.310516087238177, 22.37774396870246, 22.121694807263463, 22.431008598334923, 22.12733414059015, 22.509070918086863, 22.32666814501517]","[2.4000128601512136, 15.983259005145797, 2.4222741399635628, 4.53494743548901, 2.4251103734974704, 16.179475495661446, 2.321139550902328, 4.582376475945743, 2.342857142857143, 16.108192614985963, 2.372040860682461, 4.53494743548901, 2.422548928620172, 16.04231725192786, 2.3184343045629467]",96.98993387588213,9.92474362397524
ADTC_8_adz_raw_20260306_0500,2026-03-06 04:56:10.312,2026-03-06 04:56:20.479,"[Timestamp('2026-03-06 04:56:20.479000'), Timestamp('2026-03-06 04:56:20.616000'), Timestamp('2026-03-06 04:56:21.500000'), Timestamp('2026-03-06 04:56:21.636000'), Timestamp('2026-03-06 04:56:21.895000'), Timestamp('2026-03-06 04:56:22.033000'), Timestamp('2026-03-06 04:56:22.954000'), Timestamp('2026-03-06 04:56:23.095000'), Timestamp('2026-03-06 04:56:23.367000'), Timestamp('2026-03-06 04:56:23.511000'), Timestamp('2026-03-06 04:56:24.478000'), Timestamp('2026-03-06 04:56:24.624000'), Timestamp('2026-03-06 04:56:24.906000'), Timestamp('2026-03-06 04:56:25.057000'), Timestamp('2026-03-06 04:56:26.077000'), Timestamp('2026-03-06 04:56:26.230000')]","[0.137, 0.884, 0.136, 0.259, 0.138, 0.921, 0.141, 0.272, 0.144, 0.967, 0.146, 0.282, 0.151, 1.02, 0.153]","[17.929062183936107, 17.926421404682273, 17.47113645847823, 17.4298141557928, 17.28913787737317, 17.367997855802734, 16.931690929451285, 16.42412615226241, 16.541014164104148, 16.34905818989257, 16.09443507588533, 15.712621047133041, 15.764226875008426, 15.69230769230769, 15.226097281197804, 14.839713901011278]","[2.456281519199247, 15.846956521739129, 2.3760745583530394, 4.514321866350335, 2.385901027077498, 15.995926025194318, 2.387368421052631, 4.467362313415376, 2.381906039630997, 15.809539269626114, 2.349787521079258, 4.430959135291517, 2.3803982581262724, 16.006153846153843, 2.329592884023264]",96.11852920631287,9.92474362397524
ADTC_8_adz_raw_20260306_0540,2026-03-06 05:37:01.480,2026-03-06 05:37:11.533,"[Timestamp('2026-03-06 05:37:11.533000'), Timestamp('2026-03-06 05:37:11.656000'), Timestamp('2026-03-06 05:37:12.473000'), Timestamp('2026-03-06 05:37:12.595000'), Timestamp('2026-03-06 05:37:12.831000'), Timestamp('2026-03-06 05:37:12.963000'), Timestamp('2026-03-06 05:37:13.816000'), Timestamp('2026-03-06 05:37:13.944000'), Timestamp('2026-03-06 05:37:14.191000'), Timestamp('2026-03-06 05:37:14.330000'), Timestamp('2026-03-06 05:37:15.230000'), Timestamp('2026-03-06 05:37:15.366000'), Timestamp('2026-03-06 05:37:15.628000'), Timestamp('2026-03-06 05:37:15.772000'), Timestamp('2026-03-06 05:37:16.739000'), Timestamp('2026-03-06 05:37:16.881000')]","[0.123, 0.817, 0.122, 0.236, 0.132, 0.853, 0.128, 0.247, 0.139, 0.9, 0.136, 0.262, 0.144, 0.967, 0.142]","[19.672213753920957, 19.43965075526224, 19.0857888184028, 18.86233092458773, 18.768776803528702, 18.7254752851711, 18.338527108587613, 17.9275616033255, 17.86060421454878, 17.818181818181817, 17.14291180775449, 16.902718235332408, 16.753977729587483, 16.51666045339156, 16.000711142717453, 15.712621047133041]","[2.419682291732278, 15.882194667049248, 2.328466235845142, 4.4515100982027045, 2.477478538065789, 15.972830418250949, 2.3473314698992143, 4.428107716021398, 2.4826239858222805, 16.036363636363635, 2.331436005854611, 4.428512177657091, 2.412572793060597, 15.971610658429636, 2.272100982265878]",96.24282167452047,9.92474362397524
ADTC_8_adz_raw_20260306_0550,2026-03-06 05:47:19.586,2026-03-06 05:47:29.628,"[Timestamp('2026-03-06 05:47:29.628000'), Timestamp('2026-03-06 05:47:29.715000'), Timestamp('2026-03-06 05:47:30.267000'), Timestamp('2026-03-06 05:47:30.348000'), Timestamp('2026-03-06 05:47:30.511000'), Timestamp('2026-03-06 05:47:30.603000'), Timestamp('2026-03-06 05:47:31.193000'), Timestamp('2026-03-06 05:47:31.277000'), Timestamp('2026-03-06 05:47:31.439000'), Timestamp('2026-03-06 05:47:31.529000'), Timestamp('2026-03-06 05:47:32.117000'), Timestamp('2026-03-06 05:47:32.203000'), Timestamp('2026-03-06 05:47:32.362000'), Timestamp('2026-03-06 05:47:32.454000'), Timestamp('2026-03-06 05:47:33.037000'), Timestamp('2026-03-06 05:47:33.122000'), Timestamp('2026-03-06 05:47:33.287000'), Timestamp('2026-03-06 05:47:33.375000'), Timestamp('2026-03-06 05:47:33.956000'), Timestamp('2026-03-06 05:47:34.042000'), Timestamp('2026-03-06 05:47:34.203000'), Timestamp('2026-03-06 05:47:34.290000'), Timestamp('2026-03-06 05:47:34.875000'), Timestamp('2026-03-06 05:47:34.959000'), Timestamp('2026-03-06 05:47:35.118000'), Timestamp('2026-03-06 05:47:35.209000'), Timestamp('2026-03-06 05:47:35.787000'), Timestamp('2026-03-06 05:47:35.871000'), Timestamp('2026-03-06 05:47:36.042000'), Timestamp('2026-03-06 05:47:36.123000'), Timestamp('2026-03-06 05:47:36.666000'), Timestamp('2026-03-06 05:47:36.750000')]","[0.087, 0.552, 0.081, 0.163, 0.092, 0.59, 0.084, 0.162, 0.09, 0.588, 0.086, 0.159, 0.092, 0.583, 0.085, 0.165, 0.088, 0.581, 0.086, 0.161, 0.087, 0.585, 0.084, 0.159, 0.091, 0.578, 0.084, 0.171, 0.081, 0.543, 0.084]","[27.35397978649998, 27.083034904263954, 27.708454810495624, 27.29938683017862, 27.272947386261833, 27.320864707311145, 27.710301394511916, 27.472365512159172, 27.273607748184013, 27.35597843735792, 27.6328214303464, 27.51077718930903, 27.350427350427353, 27.51077718930903, 27.78634139802962, 27.54804604515587, 27.665935818218053, 27.74589650419747, 27.90697674418604, 27.745664739884386, 27.828191167574097, 27.909099360247453, 28.11278040749125, 27.907212574470783, 27.918537117350176, 28.02973470640387, 28.07041543052076, 28.128700128700125, 28.36542658123985, 28.070175438596483, 28.360475467350888, 28.070175438596483]","[2.379796241425498, 14.949835267153704, 2.2443848396501456, 4.449800053319115, 2.5091111595360887, 16.119310177313576, 2.327665317139001, 4.450523212969786, 2.454624697336561, 16.085315321166455, 2.37642264300979, 4.374213573100136, 2.5162393162393166, 16.038783101367166, 2.361839018832518, 4.545427597450719, 2.4346023520031883, 16.12036586893873, 2.399999999999999, 4.467052023121386, 2.4210526315789465, 16.32682312574476, 2.3614735542292653, 4.437246799340855, 2.540586877678866, 16.20118666030144, 2.357914896163744, 4.810007722007722, 2.2975995530804276, 15.24210526315789, 2.382279939257475]",196.9835888036143,9.92474362397524
ADTC_8_adz_raw_20260306_0600,2026-03-06 05:53:03.549,2026-03-06 05:53:13.589,"[Timestamp('2026-03-06 05:53:13.589000'), Timestamp('2026-03-06 05:53:13.734000'), Timestamp('2026-03-06 05:53:14.729000'), Timestamp('2026-03-06 05:53:14.878000'), Timestamp('2026-03-06 05:53:15.169000'), Timestamp('2026-03-06 05:53:15.340000'), Timestamp('2026-03-06 05:53:16.404000'), Timestamp('2026-03-06 05:53:16.564000'), Timestamp('2026-03-06 05:53:16.885000'), Timestamp('2026-03-06 05:53:17.062000'), Timestamp('2026-03-06 05:53:18.212000'), Timestamp('2026-03-06 05:53:18.389000'), Timestamp('2026-03-06 05:53:18.732000'), Timestamp('2026-03-06 05:53:18.926000'), Timestamp('2026-03-06 05:53:20.163000'), Timestamp('2026-03-06 05:53:20.346000')]","[0.145, 0.995, 0.149, 0.291, 0.171, 1.064, 0.16, 0.321, 0.177, 1.15, 0.177, 0.343, 0.194, 1.237, 0.183]","[16.231327284888607, 16.054230007718377, 15.335502392344498, 15.213946117274167, 15.023805325339449, 14.985035404044089, 14.285840825545861, 14.035117718096418, 13.913774090216876, 13.829782820635149, 13.215448340679037, 12.96521234802972, 12.912189297731466, 12.903808596396455, 12.648418947631544, 12.484082895771504]","[2.353542456308848, 15.973958857679786, 2.28498985645933, 4.427258320126782, 2.569070710633046, 15.944077669902912, 2.285734532087338, 4.50527278750895, 2.4627380139683868, 15.90425024373042, 2.3391343563001894, 4.447067835374194, 2.5049647237599046, 15.962011233742416, 2.3146606674165726]",96.27873226499908,9.92474362397524
ADTC_8_adz_raw_20260306_0610,2026-03-06 06:00:58.259,2026-03-06 06:01:08.299,"[Timestamp('2026-03-06 06:01:08.299000'), Timestamp('2026-03-06 06:01:08.388000'), Timestamp('2026-03-06 06:01:08.992000'), Timestamp('2026-03-06 06:01:09.081000'), Timestamp('2026-03-06 06:01:09.250000'), Timestamp('2026-03-06 06:01:09.341000'), Timestamp('2026-03-06 06:01:09.945000'), Timestamp('2026-03-06 06:01:10.033000'), Timestamp('2026-03-06 06:01:10.202000'), Timestamp('2026-03-06 06:01:10.292000'), Timestamp('2026-03-06 06:01:10.900000'), Timestamp('2026-03-06 06:01:10.988000'), Timestamp('2026-03-06 06:01:11.156000'), Timestamp('2026-03-06 06:01:11.247000'), Timestamp('2026-03-06 06:01:11.849000'), Timestamp('2026-03-06 06:01:11.941000'), Timestamp('2026-03-06 06:01:12.106000'), Timestamp('2026-03-06 06:01:12.201000'), Timestamp('2026-03-06 06:01:12.800000'), Timestamp('2026-03-06 06:01:12.891000'), Timestamp('2026-03-06 06:01:13.061000'), Timestamp('2026-03-06 06:01:13.151000'), Timestamp('2026-03-06 06:01:13.753000'), Timestamp('2026-03-06 06:01:13.844000'), Timestamp('2026-03-06 06:01:14.004000'), Timestamp('2026-03-06 06:01:14.101000'), Timestamp('2026-03-06 06:01:14.700000'), Timestamp('2026-03-06 06:01:14.786000'), Timestamp('2026-03-06 06:01:14.948000'), Timestamp('2026-03-06 06:01:15.043000'), Timestamp('2026-03-06 06:01:15.640000'), Timestamp('2026-03-06 06:01:15.727000')]","[0.089, 0.604, 0.089, 0.169, 0.091, 0.604, 0.088, 0.169, 0.09, 0.608, 0.088, 0.168, 0.091, 0.602, 0.092, 0.165, 0.095, 0.599, 0.091, 0.17, 0.09, 0.602, 0.091, 0.16, 0.097, 0.599, 0.086, 0.162, 0.095, 0.597, 0.087]","[26.48522763596511, 26.45350823256132, 26.741154562383606, 26.410353439794136, 26.37681159420289, 26.412352406902812, 26.521158469111306, 26.158038147138964, 26.55728672441764, 26.418351124233475, 26.71248780940881, 26.41115299032741, 26.60280029476786, 26.59606308276735, 26.500959517499766, 26.578439481665285, 26.46254784034991, 26.522575327410927, 26.4856771526073, 26.44117112202219, 26.62221436966592, 26.47058823529411, 26.648186648186645, 26.60492786065837, 26.385160609259543, 26.691587052726696, 27.02792474317303, 26.6855838628092, 26.860995284673237, 26.90372042707304, 27.18037186122293, 27.128358208955223]","[2.357185259600895, 15.977918972467036, 2.379962756052141, 4.463349731325209, 2.400289855072463, 15.953060853769298, 2.333861945281795, 4.4207084468664855, 2.3901558051975873, 16.06235748353395, 2.3506989272279752, 4.437073702375005, 2.4208548268238754, 16.010829975825946, 2.4380882756099784, 4.385442514474772, 2.5139420448332412, 15.887022621119144, 2.4101966208872643, 4.4949990907437725, 2.3959992932699326, 15.935294117647054, 2.4249849849849845, 4.25678845770534, 2.559360579098176, 15.98826064458329, 2.3244015279128805, 4.32306458577509, 2.5517945520439573, 16.061521094962604, 2.364692351926395]",197.27416189899753,9.92474362397524
ADTC_8_adz_raw_20260306_0630,2026-03-06 06:22:42.208,2026-03-06 06:22:52.280,"[Timestamp('2026-03-06 06:22:52.280000'), Timestamp('2026-03-06 06:22:52.397000'), Timestamp('2026-03-06 06:22:52.747000'), Timestamp('2026-03-06 06:22:52.865000'), Timestamp('2026-03-06 06:22:53.091000'), Timestamp('2026-03-06 06:22:53.198000'), Timestamp('2026-03-06 06:22:54.016000'), Timestamp('2026-03-06 06:22:54.127000'), Timestamp('2026-03-06 06:22:54.336000'), Timestamp('2026-03-06 06:22:54.450000'), Timestamp('2026-03-06 06:22:55.299000'), Timestamp('2026-03-06 06:22:55.412000'), Timestamp('2026-03-06 06:22:55.632000'), Timestamp('2026-03-06 06:22:55.760000'), Timestamp('2026-03-06 06:22:56.632000'), Timestamp('2026-03-06 06:22:56.754000')]","[0.117, 0.35, 0.118, 0.226, 0.107, 0.818, 0.111, 0.209, 0.114, 0.849, 0.113, 0.22, 0.128, 0.872, 0.122]","[22.32860040567951, 22.134034584429035, 22.043657070547297, 21.873442949676136, 21.99546485260771, 21.78483767887741, 21.28644965264974, 21.059113300492612, 20.765518015489953, 21.11123999536017, 20.426364134346798, 20.21133252960783, 20.23184543637575, 20.219881465994558, 19.67741935483871, 19.35767135539475]","[2.612446247464503, 7.746912104550161, 2.601151534324581, 4.943398106626807, 2.353514739229025, 17.81999722132172, 2.3627959114441213, 4.401354679802956, 2.3672690537658547, 17.923442756060783, 2.308179147181188, 4.446493156513722, 2.589676215856096, 17.631736638347252, 2.400645161290323]",94.50901267377911,9.92474362397524
